backbone,method,condition,seed,auc
siglip2-base,source_only,motion_blur_5,123,0.5145816718343822
siglip2-base,source_only,brightness_1,2024,0.7995072990843789
siglip2-base,source_only,brightness_2,2024,0.7895027811570053
siglip2-base,source_only,brightness_3,2024,0.794724238752623
siglip2-base,source_only,brightness_4,2024,0.7866563913934108
siglip2-base,source_only,brightness_5,2024,0.7734433570073107
siglip2-base,source_only,gaussian_noise_1,2024,0.5331355213177555
siglip2-base,source_only,gaussian_noise_2,2024,0.5574221296441125
siglip2-base,source_only,gaussian_noise_3,2024,0.5666845253827173
siglip2-base,source_only,gaussian_noise_4,2024,0.6043938072324532
siglip2-base,source_only,gaussian_noise_5,2024,0.6396168167785125
siglip2-base,source_only,jpeg_compression_1,2024,0.39160128690940044
siglip2-base,source_only,jpeg_compression_2,2024,0.40815996582511027
siglip2-base,source_only,jpeg_compression_3,2024,0.3796689033290705
siglip2-base,source_only,jpeg_compression_4,2024,0.3695352674818676
siglip2-base,source_only,jpeg_compression_5,2024,0.3807690087234632
siglip2-base,source_only,motion_blur_1,2024,0.5240287296840699
siglip2-base,source_only,motion_blur_2,2024,0.523546298914248
siglip2-base,source_only,motion_blur_3,2024,0.49371965758664993
siglip2-base,source_only,motion_blur_4,2024,0.4959136531411728
siglip2-base,source_only,motion_blur_5,2024,0.5256468962860823
siglip2-base,tent,brightness_1,42,0.7977146415664342
siglip2-base,tent,brightness_2,42,0.7886209680062135
siglip2-base,tent,brightness_3,42,0.7878497699514122
siglip2-base,tent,brightness_4,42,0.7793060731839461
siglip2-base,tent,brightness_5,42,0.7637720774376566
siglip2-base,tent,gaussian_noise_1,42,0.5399019334491487
siglip2-base,tent,gaussian_noise_2,42,0.5599933256228411
siglip2-base,tent,gaussian_noise_3,42,0.589924429321707
siglip2-base,tent,gaussian_noise_4,42,0.6215408214736398
siglip2-base,tent,gaussian_noise_5,42,0.6367840005150315
siglip2-base,tent,jpeg_compression_1,42,0.4446188782762368
siglip2-base,tent,jpeg_compression_2,42,0.4327452893832404
siglip2-base,tent,jpeg_compression_3,42,0.401214932683178
siglip2-base,tent,jpeg_compression_4,42,0.3723311673970137
siglip2-base,tent,jpeg_compression_5,42,0.3814839839120051
siglip2-base,tent,motion_blur_1,42,0.5321129724026297
siglip2-base,tent,motion_blur_2,42,0.575394435017033
siglip2-base,tent,motion_blur_3,42,0.5487264811148503
siglip2-base,tent,motion_blur_4,42,0.5430156899102083
siglip2-base,tent,motion_blur_5,42,0.5976023689602259
